"Course ID","Subject code","Catalog Number","Offering Unit","Course Title","Course Description","Min Units","Max Units","Repeatable for Credit","Total Completions Allowed","Total Units Allowed","Grading Basis","Components","Course Attributes","Enrollment Requirements","Course Requisites"
"039477","ABBS","696C","Graduate Interdisciplinary Prg","Arizona Biological and Biomedical Sciences Student Forum","The development and exchange of scholarly information. The scope of work shall consist of research by course registrants, with the exchange of the results of such research through discussion, reports, and/or papers. There will be a combination of student presentations, class discussions, panel discussions, and a variety of in-class activities. The course will be graded on the basis of discussion and participation.","1","1","No","1","1","GRD - Regular Grades A, B, C, D, E","Colloquium","-","-","Restricted to ABBS Doctoral Students"
"042678","ABBS","792","Graduate Interdisciplinary Prg","Directed Rotation Research","This course is designed to aid ABBS first year PhD students in their search and selection of a research area and research advisor.","1","4","Yes","10","10","GRD - Regular Grades A, B, C, D, E","Independent Study","-","-","Students should be enrolled in the ABBS Doctoral program."
"040839","ABS","572","Neuroscience, GIDP","Neurodevelopment in Action: How the brain is built, ages, and responds to disease","Neurodevelopment provides a context in which to understand not only the genesis of the nervous system, but also biological functions and the emergence of pathology across the lifespan. The goals of this course are to examine the principles underlying early nervous system development and to learn how such developmental mechanisms extend into adulthood and ageing to maintain tissue homeostasis.  Additionally, how the developmental mechanisms relate to disease, especially neurodegenerative diseases, and the function of stem cells during development and neural repair, will be discussed.","4","4","No","1","4","GRD - Regular Grades A, B, C, D, E","Lecture","GIDP - ABS (Applied Biosciences), GIDP - NRSC (Neuroscience), GIDP - PS (Physiological Sciences)","-","One prior course in molecular cellular biology is required.   A basic neuroscience course including neurophysiology and the structure of the nervous system is also strongly recommended.  Students lacking this background must get instructors permission."
"036183","ABS","593A","Applied Biosciences, GIDP","Internship in Applied Biosciences","Specialized work or service on an individual basis, consisting of training and practice in actual service in a technical, business, academic or governmental establishment.","1","9","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"036996","ABS","599","Applied Biosciences, GIDP","Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work. Graduate students doing independent work which cannot be classified as actual research will register for credit under course number 599, 699, or 799.","1","6","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"036995","ABS","909","Applied Biosciences, GIDP","Master's Report","Independent study or special project or formal report thereof submitted in lieu of thesis for certain master's degrees.","1","6","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"035261","ACBS","102L","Animal & Biomedical Sciences","Introduction to Animal Science Laboratory","This course will expose students to various production practices and procedures in the animal industry.","1","1","No","1","1","GRD - Regular Grades A, B, C, D, E","Laboratory","-","-","-"
"035243","ACBS","102R","Animal & Biomedical Sciences","Introduction to Animal Science","This course is a comprehensive review of the livestock industries and production procedures. The course is team taught with one lead instructor and is designed to allow faculty who have expertise in the various areas teach about those areas.","3","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"006627","ACBS","142","Animal & Biomedical Sciences","Introduction to Animal Racing Industry","Overview of the history, terminology, personnel, equipment and breeds of animals utilized in the racing industry.","2","2","No","1","2","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"033089","ACBS","193","Animal & Biomedical Sciences","Internship","Specialized work on an individual basis, consisting of training and practice in actual service in a technical, business, or governmental establishment.","1","8","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"041728","ACBS","195","Animal & Biomedical Sciences","Living Dangerously","Many toxic compounds exist in nature. These toxins are produced by living organisms, yet the toxins are often not harmful to the organisms themselves, but they may be toxic to other creatures, including humans, when consumed, or encountered. These toxic compounds have diverse biological functions and toxicity. This course will focus on identifying, understanding and avoiding the toxic compounds that might be encountered in everyday activities. Various sources of natural toxins, such as plants, mushrooms, meats, stored food items, reptiles, arachnids, even mammals, will be discussed in lectures. Students will be educated on warning signs used by nature to indicate a food or creator might be toxic. Target audience is undergraduates interested in understanding the common dangers they may encounter in everyday life - especially those individuals who are outdoor enthusiasts, gardeners, cooks etc.","1","1","No","1","1","GRD - Regular Grades A, B, C, D, E","Colloquium","CE - CL (Cross Listed)","-","-"
"033090","ACBS","195D","Animal & Biomedical Sciences","Colloquium: This Wormy World","This Wormy World is a course designed to introduce students to various types of parasites and other infectious agents that affect humans and animals around the world.","1","1","No","1","1","GRD - Regular Grades A, B, C, D, E","Colloquium","CE - CL (Cross Listed), FRCQ - FC (Freshman Colloquia)","-","-"
"033091","ACBS","195F","Animal & Biomedical Sciences","Careers in Veterinary Science","This course is a colloquium to introduce students to the various careers and animal industries associated with the fields of veterinary/animal science and veterinary medicine. This class will also provide a guide in the preparation for application to a professional school of veterinary medicine.","1","1","No","1","1","GRD - Regular Grades A, B, C, D, E","Colloquium","FRCQ - FC (Freshman Colloquia)","-","-"
"033093","ACBS","199","Animal & Biomedical Sciences","Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","3","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"033094","ACBS","199H","Animal & Biomedical Sciences","Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","3","No","1","3","GRD - Regular Grades A, B, C, D, E","Independent Study","HNRS - HCRS (Honors Course)","015056","-"
